product_name,categories_tags,ingredients_text,fat_100g,sugars_100g,proteins_100g
Fondants Citron,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:breakfasts,en:spreads,en:plant-based-spreads,en:sweet-spreads,en:fruit-and-vegetable-preserves,en:jams","mûre bio 50% (fruit 27%, purée 23%) sucre de canne bio, gélifiant: pectine de fruits, traces éventuelle de fruit à coques",0.3,59.0,0.5
Organic Erythritol Granulated,fr:croquettes-chat,100% certified organic granulated erythritol,0.0,0.0,0.0
Pâte à tartiner chocolatée sans allergènes,fr:choux,,27.2,15.8,5.3
Organic hemp seeds,,,51.2,2.2,31.0
Xanthan gum,"en:cooking-helpers,en:xanthan-gum",xanthan gum,0.0,0.1,5.8
Alimento,"en:beverages,en:energy-drinks","filtered water, grape juice concentrate, pomegranate juice concentrate, malic acid, fumaric acid, natural flavor, sodium citrate, ascorbic acid (vitamin C), red 40, sucralose, acesulfame potassium, blue 1",8.0,0.6,26.0
Organic Cacao Powder,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:breakfasts,en:cereals-and-potatoes,en:seeds,en:cereals-and-their-products,en:cocoa-and-its-products,en:breakfast-cereals,en:cereal-grains,en:cocoa-and-chocolate-powders,en:chia",Poudre de cacao bio du Ghana et de la Côte d'Ivoire.,5.8,8.0,8.0
example,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:seeds,en:pumpkin-and-squash-plant-products,en:cucurbitacea-seeds,en:pumpkin-seeds-and-their-products,en:pumpkin-seeds,en:shelled-pumpkin-seeds",exemples1 and examples2,53.3,0.0,26.7
children's dha,en:i-want-to-know,I want to know,6.79,18.49,2.29
30 Panach' Fruits,"en:beverages-and-beverages-preparations,en:beverages,en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:cakes,fr:gouters-individuels","Pâtisseries fourrées à la pulpe de pêche : farine de blé, fourrage pêche 20% (sirop de glucose-fructose, purée de pêche 50%*, sucre, gélifiant : pectines, correcteurs d’acidité : acide citrique - citrates de sodium, arômes, conservateur : sorbate de potassium), huile de colza, œufs frais, sucre, sirop de glucose-fructose, stabilisant : glycérol, poudres à lever : carbonates d’ammonium - carbonates de sodium - diphosphates (blé), sel, lait écrémé en poudre, émulsifiants : mono et diglycérides d’acides gras, arôme. *% exprimé sur le fourrage équivalent à 10% sur l’ensemble du produit. Pâtisseries fourrées à la pulpe d'abricot : farine de blé, fourrage abricot 20% (sirop de glucose-fructose, purée d'abricot 50%*, sucre, gélifiant : pectines, correcteurs d’acidité : acide citrique - citrates de sodium, arômes, conservateur : sorbate de potassium), huile de colza, œufs frais, sucre, sirop de glucose-fructose, stabilisant : glycérol, poudres à lever : carbonates d’ammonium - carbonates de sodium - diphosphates (blé), sel, lait écrémé en poudre, émulsifiants : mono et diglycérides d’acides gras, arôme. *% exprimé sur le fourrage équivalent à 10% sur l’ensemble du produit. Pâtisseries fourrées à la pulpe de fruits rouges : farine de blé, fourrage fruits rouges 20% (sirop de glucose-fructose, purée de fraise 17.8%*, sucre, purée de framboise concentrée 5%* (équivalent à 21.2%* de purée de framboise), purée de cerise concentrée 3%* (équivalent à 11%* de purée de cerise), gélifiant : pectines, correcteurs d’acidité : acide citrique - citrates de sodium, arôme, conservateur : sorbate de potassium), huile de colza, œufs frais, sucre, sirop de glucose-fructose, stabilisant : glycérol, poudres à lever : carbonates d’ammonium - carbonates de sodium - diphosphates (blé), sel, lait écrémé en poudre, émulsifiants : mono et diglycérides d’acides gras, arôme. *soit un équivalent de 50% de purée de fruits sur le fourrage équivalent à 10% sur l’ensemble du produit.",18.0,31.0,5.0
Snep vegan plus,"en:beverages-and-beverages-preparations,en:beverages",REFILL YOUR BOTTLE ECONOMIC REFILL &quot; Hydratant Visage et Corps. &quot; Reparateur et cicatrisant. &quot; Gel apres-rasage et apres epilation. &quot; Gel pour la barbe. &quot; Reparateur apres soleil. Soin pour les animaux de compagnie. B. .T. cosmetic,7.23,17.95,18.53
Vegan 3k proetin,"en:beverages-and-beverages-preparations,en:beverages,en:dietary-supplements,en:bodybuilding-supplements,en:protein-powders",,2.67,0.0,80.0
